lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/motioninb/en-GB/experiment.html" 10.179.3.61 114.119.167.96 - - [17/Apr/2020:00:34:05 +0100] "GET /motioninb/en-GB/experiment.html?LPPPSession=1567555200020 HTTP/1.1" 200 13298 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; AspiegelBot)" 15367 1587080045.531+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/OffLine.js.txt" - 2603:9001:4602:d6a8:8481:7dbb:9810:c0d9 - - [17/Apr/2020:01:30:51 +0100] "GET /javascript/OffLine.js HTTP/1.1" 200 - "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (Linux; Android 9; SM-G950U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.111 Mobile Safari/537.36" 2717 1587083451.589+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/images/lancaster_logo.gif" - 2603:9001:4602:d6a8:8481:7dbb:9810:c0d9 - - [17/Apr/2020:01:30:51 +0100] "GET /images/lancaster_logo.gif?LPPPSession=1587083451264&LPPPModule=1&LPPPMode=0 HTTP/1.1" 200 22171 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (Linux; Android 9; SM-G950U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.111 Mobile Safari/537.36" 7421 1587083451.588+2 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/favicon.ico" - 2603:9001:4602:d6a8:8481:7dbb:9810:c0d9 - - [17/Apr/2020:01:30:52 +0100] "GET /favicon.ico HTTP/1.1" 404 262 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (Linux; Android 9; SM-G950U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.111 Mobile Safari/537.36" 11364 1587083452.034+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/index.html" - 207.46.13.112 - - [17/Apr/2020:02:54:52 +0100] "GET / HTTP/1.1" 200 5863 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 19613 1587088492.401+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/robots.txt" - 216.244.66.237 - - [17/Apr/2020:03:01:58 +0100] "GET /robots.txt HTTP/1.1" 404 262 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" 13880 1587088918.024+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/index_en-GB.html" - 108.183.215.123 - - [17/Apr/2020:03:08:26 +0100] "GET /index_en-GB.html HTTP/1.1" 200 5722 "http://www.lppp.lancs.ac.uk/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 13892 1587089306.368+2 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/GenerateModuleList.js" - 108.183.215.123 - - [17/Apr/2020:03:08:26 +0100] "GET /javascript/GenerateModuleList.js HTTP/1.1" 200 2861 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 26774 1587089306.710+3 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/SessionManagement.js" - 108.183.215.123 - - [17/Apr/2020:03:08:26 +0100] "GET /javascript/SessionManagement.js HTTP/1.1" 200 2739 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 13880 1587089306.804+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/LanguageManagement.js" - 108.183.215.123 - - [17/Apr/2020:03:08:26 +0100] "GET /javascript/LanguageManagement.js HTTP/1.1" 200 1898 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 31840 1587089306.804+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/popin.js" - 108.183.215.123 - - [17/Apr/2020:03:08:26 +0100] "GET /javascript/popin.js HTTP/1.1" 200 1297 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 19613 1587089306.815+3 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/GenerateModeList.js" - 108.183.215.123 - - [17/Apr/2020:03:08:26 +0100] "GET /javascript/GenerateModeList.js HTTP/1.1" 200 8200 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 27259 1587089306.894+3 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/css/lppp800.css" - 108.183.215.123 - - [17/Apr/2020:03:08:26 +0100] "GET /css/lppp800.css HTTP/1.1" 200 6783 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 25328 1587089306.953+2 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/images/logo.gif" - 108.183.215.123 - - [17/Apr/2020:03:08:26 +0100] "GET /images/logo.gif HTTP/1.1" 200 978 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 22350 1587089306.959+3 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/images/en-GB.gif" - 108.183.215.123 - - [17/Apr/2020:03:08:27 +0100] "GET /images/en-GB.gif HTTP/1.1" 200 260 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 31789 1587089307.138+2 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/OffLine.js.txt" - 108.183.215.123 - - [17/Apr/2020:03:08:27 +0100] "GET /javascript/OffLine.js HTTP/1.1" 200 - "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 13892 1587089307.143+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/images/lancaster_logo.gif" - 108.183.215.123 - - [17/Apr/2020:03:08:27 +0100] "GET /images/lancaster_logo.gif?LPPPSession=1587089307067&LPPPModule=1&LPPPMode=0 HTTP/1.1" 200 22171 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 26774 1587089307.143+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/favicon.ico" - 2600:1017:b02c:620f:ade6:b999:e7f5:5933 - - [17/Apr/2020:03:08:27 +0100] "GET /favicon.ico HTTP/1.1" 404 262 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 26156 1587089307.821+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/pool/index.html" - 216.244.66.237 - - [17/Apr/2020:03:20:19 +0100] "GET /pool/index.html HTTP/1.1" 404 262 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" 436 1587090019.071+3 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/index.html" - 45.79.121.87 - - [17/Apr/2020:03:26:56 +0100] "GET / HTTP/1.1" 200 5863 "-" "python-requests/2.23.0" 2316 1587090416.454+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/ads.txt" - 66.249.79.246 - - [17/Apr/2020:04:29:43 +0100] "GET /ads.txt HTTP/1.1" 404 262 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 22389 1587094183.042+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/robots.txt" - 66.249.79.253 - - [17/Apr/2020:04:30:03 +0100] "GET /robots.txt HTTP/1.1" 404 262 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 3988 1587094203.834+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/ads.txt" - 66.249.79.251 - - [17/Apr/2020:04:30:04 +0100] "GET /ads.txt HTTP/1.1" 404 262 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 15306 1587094204.108+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/higgs/images/ImageRight2.jpg" - 66.249.79.251 - - [17/Apr/2020:04:46:35 +0100] "GET /higgs/images/ImageRight2.jpg HTTP/1.1" 200 10219 "-" "Googlebot-Image/1.0" 24329 1587095195.683+4 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/index_en-GB.html" - 202.83.56.243 - - [17/Apr/2020:04:51:19 +0100] "GET /index_en-GB.html HTTP/1.1" 200 5722 "http://www.lppp.lancs.ac.uk/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 1197 1587095479.535+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/LanguageManagement.js" - 202.83.56.243 - - [17/Apr/2020:04:51:19 +0100] "GET /javascript/LanguageManagement.js HTTP/1.1" 200 1898 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 17902 1587095479.748+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/GenerateModeList.js" - 202.83.56.243 - - [17/Apr/2020:04:51:19 +0100] "GET /javascript/GenerateModeList.js HTTP/1.1" 200 8200 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 20152 1587095479.929+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/popin.js" - 202.83.56.243 - - [17/Apr/2020:04:51:19 +0100] "GET /javascript/popin.js HTTP/1.1" 200 1297 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 25599 1587095479.939+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/SessionManagement.js" - 202.83.56.243 - - [17/Apr/2020:04:51:19 +0100] "GET /javascript/SessionManagement.js HTTP/1.1" 200 2739 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 17902 1587095479.941+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/GenerateModuleList.js" - 202.83.56.243 - - [17/Apr/2020:04:51:19 +0100] "GET /javascript/GenerateModuleList.js HTTP/1.1" 200 2861 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 1197 1587095479.941+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/css/lppp800.css" - 202.83.56.243 - - [17/Apr/2020:04:51:20 +0100] "GET /css/lppp800.css HTTP/1.1" 200 6783 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 20553 1587095480.114+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/images/logo.gif" - 202.83.56.243 - - [17/Apr/2020:04:51:20 +0100] "GET /images/logo.gif HTTP/1.1" 200 978 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 20152 1587095480.115+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/images/en-GB.gif" - 202.83.56.243 - - [17/Apr/2020:04:51:20 +0100] "GET /images/en-GB.gif HTTP/1.1" 200 260 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 17902 1587095480.329+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/images/lancaster_logo.gif" - 202.83.56.243 - - [17/Apr/2020:04:51:20 +0100] "GET /images/lancaster_logo.gif?LPPPSession=1587095480214&LPPPModule=1&LPPPMode=0 HTTP/1.1" 200 22171 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 1197 1587095480.352+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/OffLine.js.txt" - 202.83.56.243 - - [17/Apr/2020:04:51:20 +0100] "GET /javascript/OffLine.js HTTP/1.1" 200 - "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 1863 1587095480.353+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/favicon.ico" - 202.83.56.243 - - [17/Apr/2020:04:51:24 +0100] "GET /favicon.ico HTTP/1.1" 404 262 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 20152 1587095484.513+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/robots.txt" - 157.55.39.31 - - [17/Apr/2020:05:10:13 +0100] "GET /robots.txt HTTP/1.1" 404 262 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 9693 1587096613.274+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/lifetime/kaonlifetime.html" - 207.46.13.112 - - [17/Apr/2020:05:10:14 +0100] "GET /lifetime/kaonlifetime.html HTTP/1.1" 404 262 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 1893 1587096614.481+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/index.html" - 78.71.47.171 - - [17/Apr/2020:05:57:09 +0100] "GET / HTTP/1.1" 200 5863 "-" "Mozilla/5.0 (iPad; CPU OS 12_4_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1" 11239 1587099429.093+6 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-152x152-precomposed.png" - 78.71.47.171 - - [17/Apr/2020:05:57:09 +0100] "GET /apple-touch-icon-152x152-precomposed.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 8684 1587099429.219+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-152x152.png" - 78.71.47.171 - - [17/Apr/2020:05:57:09 +0100] "GET /apple-touch-icon-152x152.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 11276 1587099429.266+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-precomposed.png" - 78.71.47.171 - - [17/Apr/2020:05:57:09 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 12633 1587099429.311+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon.png" - 78.71.47.171 - - [17/Apr/2020:05:57:09 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 11239 1587099429.357+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/favicon.ico" - 78.71.47.171 - - [17/Apr/2020:05:57:09 +0100] "GET /favicon.ico HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 15397 1587099429.403+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-152x152-precomposed.png" - 78.71.47.171 - - [17/Apr/2020:05:57:09 +0100] "GET /apple-touch-icon-152x152-precomposed.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 11076 1587099429.447+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-152x152.png" - 78.71.47.171 - - [17/Apr/2020:05:57:09 +0100] "GET /apple-touch-icon-152x152.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 8684 1587099429.491+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-precomposed.png" - 78.71.47.171 - - [17/Apr/2020:05:57:09 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 11276 1587099429.537+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon.png" - 78.71.47.171 - - [17/Apr/2020:05:57:09 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 12633 1587099429.582+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/favicon.ico" - 78.71.47.171 - - [17/Apr/2020:05:57:09 +0100] "GET /favicon.ico HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 11239 1587099429.627+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/neutrinos/simulation.html" - 41.46.81.122 - - [17/Apr/2020:06:11:42 +0100] "GET /neutrinos/simulation.html HTTP/1.1" 404 262 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko" 15074 1587100302.256+2 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/neutrinos/simulation.html" - 41.46.81.122 - - [17/Apr/2020:06:13:02 +0100] "GET /neutrinos/simulation.html HTTP/1.1" 404 262 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko" 7143 1587100382.123+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/neutrinos/simulation.html" - 41.46.81.122 - - [17/Apr/2020:06:13:10 +0100] "GET /neutrinos/simulation.html HTTP/1.1" 404 262 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko" 8716 1587100390.877+0 (- -)
